Country;City;Date;SI_index
Армения;Ереван;25.04.2020;3.60
Армения;Ереван;26.02.2020;1.20
Армения;Ереван;26.03.2020;3.70
Армения;Ереван;26.04.2020;3.80
Армения;Ереван;27.02.2020;1.30
Армения;Ереван;27.03.2020;3.80
Армения;Ереван;27.04.2020;2.80
Армения;Ереван;28.02.2020;1.30
Армения;Ереван;28.03.2020;4.00
Армения;Ереван;29.02.2020;2.20
Армения;Ереван;29.03.2020;4.40
Армения;Ереван;30.03.2020;3.70
Армения;Ереван;31.03.2020;3.70
Беларусь;Барановичи;01.03.2020;3.20
Беларусь;Барановичи;01.04.2020;1.90
Беларусь;Барановичи;02.03.2020;1.40
Беларусь;Барановичи;02.04.2020;2.00
Беларусь;Барановичи;03.03.2020;1.20
Беларусь;Барановичи;03.04.2020;2.00
Беларусь;Барановичи;04.03.2020;1.30
Беларусь;Барановичи;04.04.2020;2.80
Беларусь;Барановичи;05.03.2020;1.20
Беларусь;Барановичи;05.04.2020;3.40
Беларусь;Барановичи;06.03.2020;1.30
Беларусь;Барановичи;06.04.2020;2.00
Беларусь;Барановичи;07.03.2020;2.40
Беларусь;Барановичи;07.04.2020;1.90
Беларусь;Барановичи;08.03.2020;2.80
Беларусь;Барановичи;08.04.2020;1.90
Беларусь;Барановичи;09.03.2020;1.50
Беларусь;Барановичи;09.04.2020;2.00
Беларусь;Барановичи;10.03.2020;1.30
Беларусь;Барановичи;10.04.2020;2.00
Беларусь;Барановичи;11.03.2020;1.40
Беларусь;Барановичи;11.04.2020;3.00
Беларусь;Барановичи;12.03.2020;1.30
Беларусь;Барановичи;12.04.2020;3.50
Беларусь;Барановичи;13.03.2020;1.30
Беларусь;Барановичи;13.04.2020;2.20
Беларусь;Барановичи;14.03.2020;2.80
Беларусь;Барановичи;14.04.2020;2.10
Беларусь;Барановичи;15.03.2020;3.10
Беларусь;Барановичи;15.04.2020;2.20
Беларусь;Барановичи;16.03.2020;1.40
Беларусь;Барановичи;16.04.2020;2.30
Беларусь;Барановичи;17.03.2020;1.20
Беларусь;Барановичи;17.04.2020;2.20
Беларусь;Барановичи;18.03.2020;1.20
Беларусь;Барановичи;18.04.2020;3.20
Беларусь;Барановичи;19.03.2020;1.30
Беларусь;Барановичи;19.04.2020;3.50
Беларусь;Барановичи;20.03.2020;1.20
Беларусь;Барановичи;20.04.2020;2.20
Беларусь;Барановичи;21.03.2020;2.70
Беларусь;Барановичи;21.04.2020;1.90
Беларусь;Барановичи;22.03.2020;3.30
Беларусь;Барановичи;22.04.2020;1.90
Беларусь;Барановичи;23.02.2020;3.00
Беларусь;Барановичи;23.03.2020;1.60
Беларусь;Барановичи;23.04.2020;1.90
Беларусь;Барановичи;24.02.2020;1.60
Беларусь;Барановичи;24.03.2020;1.40
Беларусь;Барановичи;24.04.2020;1.80
Беларусь;Барановичи;25.02.2020;1.40
Беларусь;Барановичи;25.03.2020;1.30
Беларусь;Барановичи;25.04.2020;2.80
Беларусь;Барановичи;26.02.2020;1.30
Беларусь;Барановичи;26.03.2020;1.40
Беларусь;Барановичи;26.04.2020;3.30
Беларусь;Барановичи;27.02.2020;1.40
Беларусь;Барановичи;27.03.2020;1.40
Беларусь;Барановичи;27.04.2020;3.00
Беларусь;Барановичи;28.02.2020;1.30
Беларусь;Барановичи;28.03.2020;2.50
Беларусь;Барановичи;29.02.2020;2.60
Беларусь;Барановичи;29.03.2020;2.90
Беларусь;Барановичи;30.03.2020;2.00
Беларусь;Барановичи;31.03.2020;1.80
Беларусь;Бобруйск;01.03.2020;3.30
Беларусь;Бобруйск;01.04.2020;2.10
Беларусь;Бобруйск;02.03.2020;1.70
Беларусь;Бобруйск;02.04.2020;2.20
Беларусь;Бобруйск;03.03.2020;1.60
Беларусь;Бобруйск;03.04.2020;2.20
Беларусь;Бобруйск;04.03.2020;1.50
Беларусь;Бобруйск;04.04.2020;2.80
Беларусь;Бобруйск;05.03.2020;1.60
Беларусь;Бобруйск;05.04.2020;3.60
Беларусь;Бобруйск;06.03.2020;1.60
Беларусь;Бобруйск;06.04.2020;2.40
Беларусь;Бобруйск;07.03.2020;2.60
Беларусь;Бобруйск;07.04.2020;2.30
Беларусь;Бобруйск;08.03.2020;3.00
Беларусь;Бобруйск;08.04.2020;2.20
Беларусь;Бобруйск;09.03.2020;1.80
Беларусь;Бобруйск;09.04.2020;2.20
Беларусь;Бобруйск;10.03.2020;1.60
Беларусь;Бобруйск;10.04.2020;2.20
Беларусь;Бобруйск;11.03.2020;1.60
Беларусь;Бобруйск;11.04.2020;3.20
Беларусь;Бобруйск;12.03.2020;1.60
Беларусь;Бобруйск;12.04.2020;3.60
Беларусь;Бобруйск;13.03.2020;1.60
Беларусь;Бобруйск;13.04.2020;2.20
Беларусь;Бобруйск;14.03.2020;2.90
Беларусь;Бобруйск;14.04.2020;2.20
Беларусь;Бобруйск;15.03.2020;3.40
Беларусь;Бобруйск;15.04.2020;2.30
Беларусь;Бобруйск;16.03.2020;1.70
Беларусь;Бобруйск;16.04.2020;2.40
Беларусь;Бобруйск;17.03.2020;1.60
Беларусь;Бобруйск;17.04.2020;2.20
Беларусь;Бобруйск;18.03.2020;1.60
Беларусь;Бобруйск;18.04.2020;3.30
Беларусь;Бобруйск;19.03.2020;1.60
Беларусь;Бобруйск;19.04.2020;3.50
Беларусь;Бобруйск;20.03.2020;1.50
Беларусь;Бобруйск;20.04.2020;2.20
Беларусь;Бобруйск;21.03.2020;2.80
Беларусь;Бобруйск;21.04.2020;2.00
Беларусь;Бобруйск;22.03.2020;3.50
Беларусь;Бобруйск;22.04.2020;2.00
Беларусь;Бобруйск;23.02.2020;3.20
Беларусь;Бобруйск;23.03.2020;1.90
Беларусь;Бобруйск;23.04.2020;1.90
Беларусь;Бобруйск;24.02.2020;1.80
Беларусь;Бобруйск;24.03.2020;1.70
Беларусь;Бобруйск;24.04.2020;1.90
Беларусь;Бобруйск;25.02.2020;1.70
Беларусь;Бобруйск;25.03.2020;1.70
Беларусь;Бобруйск;25.04.2020;2.70
Беларусь;Бобруйск;26.02.2020;1.60
Беларусь;Бобруйск;26.03.2020;1.70
Беларусь;Бобруйск;26.04.2020;3.10
Беларусь;Бобруйск;27.02.2020;1.70
Беларусь;Бобруйск;27.03.2020;1.60
Беларусь;Бобруйск;27.04.2020;3.00
Беларусь;Бобруйск;28.02.2020;1.60
Беларусь;Бобруйск;28.03.2020;2.70
Беларусь;Бобруйск;29.02.2020;2.80
Беларусь;Бобруйск;29.03.2020;3.10
Беларусь;Бобруйск;30.03.2020;2.20
Беларусь;Бобруйск;31.03.2020;2.00
Беларусь;Борисов;01.03.2020;3.40
Беларусь;Борисов;01.04.2020;2.20
Беларусь;Борисов;02.03.2020;1.70
Беларусь;Борисов;02.04.2020;2.30
Беларусь;Борисов;03.03.2020;1.50
Беларусь;Борисов;03.04.2020;2.30
Беларусь;Борисов;04.03.2020;1.50
Беларусь;Борисов;04.04.2020;2.90
Беларусь;Борисов;05.03.2020;1.50
Беларусь;Борисов;05.04.2020;3.70
Беларусь;Борисов;06.03.2020;1.50
Беларусь;Борисов;06.04.2020;2.40
Беларусь;Борисов;07.03.2020;2.70
Беларусь;Борисов;07.04.2020;2.30
Беларусь;Борисов;08.03.2020;3.00
Беларусь;Борисов;08.04.2020;2.40
Беларусь;Борисов;09.03.2020;1.70
Беларусь;Борисов;09.04.2020;2.40
Беларусь;Борисов;10.03.2020;1.50
Беларусь;Борисов;10.04.2020;2.40
Беларусь;Борисов;11.03.2020;1.50
Беларусь;Борисов;11.04.2020;3.30
Беларусь;Борисов;12.03.2020;1.50
Беларусь;Борисов;12.04.2020;3.70
Беларусь;Борисов;13.03.2020;1.50
Беларусь;Борисов;13.04.2020;2.40
Беларусь;Борисов;14.03.2020;2.90
Беларусь;Борисов;14.04.2020;2.30
Беларусь;Борисов;15.03.2020;3.40
Беларусь;Борисов;15.04.2020;2.50
Беларусь;Борисов;16.03.2020;1.60
Беларусь;Борисов;16.04.2020;2.40
Беларусь;Борисов;17.03.2020;1.60
Беларусь;Борисов;17.04.2020;2.30
Беларусь;Борисов;18.03.2020;1.60
Беларусь;Борисов;18.04.2020;3.40
Беларусь;Борисов;19.03.2020;1.60
Беларусь;Борисов;19.04.2020;3.70
Беларусь;Борисов;20.03.2020;1.50
Беларусь;Борисов;20.04.2020;2.50
Беларусь;Борисов;21.03.2020;2.90
Беларусь;Борисов;21.04.2020;2.30
Беларусь;Борисов;22.03.2020;3.50
Беларусь;Борисов;22.04.2020;2.30
Беларусь;Борисов;23.02.2020;3.20
Беларусь;Борисов;23.03.2020;1.80
Беларусь;Борисов;23.04.2020;2.30
Беларусь;Борисов;24.02.2020;1.80
Беларусь;Борисов;24.03.2020;1.70
Беларусь;Борисов;24.04.2020;2.10
Беларусь;Борисов;25.02.2020;1.50
Беларусь;Борисов;25.03.2020;1.60
Беларусь;Борисов;25.04.2020;2.90
Беларусь;Борисов;26.02.2020;1.60
Беларусь;Борисов;26.03.2020;1.70
Беларусь;Борисов;26.04.2020;3.30
Беларусь;Борисов;27.02.2020;1.60
Беларусь;Борисов;27.03.2020;1.70
Беларусь;Борисов;27.04.2020;3.40
Беларусь;Борисов;28.02.2020;1.60
Беларусь;Борисов;28.03.2020;2.80
Беларусь;Борисов;29.02.2020;2.80
Беларусь;Борисов;29.03.2020;3.30
Беларусь;Борисов;30.03.2020;2.30
Беларусь;Борисов;31.03.2020;2.00
Беларусь;Брест;01.03.2020;3.20
Беларусь;Брест;01.04.2020;1.70
Беларусь;Брест;02.03.2020;1.30
Беларусь;Брест;02.04.2020;1.80
Беларусь;Брест;03.03.2020;1.00
Беларусь;Брест;03.04.2020;1.80
Беларусь;Брест;04.03.2020;1.10
Беларусь;Брест;04.04.2020;2.60
Беларусь;Брест;05.03.2020;1.00
Беларусь;Брест;05.04.2020;3.40
Беларусь;Брест;06.03.2020;1.00
Беларусь;Брест;06.04.2020;1.90
Беларусь;Брест;07.03.2020;2.30
Беларусь;Брест;07.04.2020;1.80
Беларусь;Брест;08.03.2020;2.90
Беларусь;Брест;08.04.2020;1.80
Беларусь;Брест;09.03.2020;1.20
Беларусь;Брест;09.04.2020;1.80
Беларусь;Брест;10.03.2020;1.00
Беларусь;Брест;10.04.2020;1.80
Беларусь;Брест;11.03.2020;1.10
Беларусь;Брест;11.04.2020;3.00
Беларусь;Брест;12.03.2020;1.00
Беларусь;Брест;12.04.2020;3.40
Беларусь;Брест;13.03.2020;1.00
Беларусь;Брест;13.04.2020;2.00
Беларусь;Брест;14.03.2020;2.60
Беларусь;Брест;14.04.2020;1.90
Беларусь;Брест;15.03.2020;3.00
Беларусь;Брест;15.04.2020;2.00
Беларусь;Брест;16.03.2020;1.20
Беларусь;Брест;16.04.2020;2.00
Беларусь;Брест;17.03.2020;1.10
Беларусь;Брест;17.04.2020;1.90
Беларусь;Брест;18.03.2020;1.10
Беларусь;Брест;18.04.2020;3.30
Беларусь;Брест;19.03.2020;1.10
Беларусь;Брест;19.04.2020;3.70
Беларусь;Брест;20.03.2020;1.10
Беларусь;Брест;20.04.2020;2.30
Беларусь;Брест;21.03.2020;2.70
Беларусь;Брест;21.04.2020;1.90
Беларусь;Брест;22.03.2020;3.40
Беларусь;Брест;22.04.2020;1.80
Беларусь;Брест;23.02.2020;3.10
Беларусь;Брест;23.03.2020;1.50
Беларусь;Брест;23.04.2020;1.80
Беларусь;Брест;24.02.2020;1.30
Беларусь;Брест;24.03.2020;1.30
Беларусь;Брест;24.04.2020;1.70
Беларусь;Брест;25.02.2020;1.20
Беларусь;Брест;25.03.2020;1.30
Беларусь;Брест;25.04.2020;2.70
Беларусь;Брест;26.02.2020;1.10
Беларусь;Брест;26.03.2020;1.30
Беларусь;Брест;26.04.2020;3.30
Беларусь;Брест;27.02.2020;1.10
Беларусь;Брест;27.03.2020;1.30
Беларусь;Брест;27.04.2020;2.80
Беларусь;Брест;28.02.2020;1.10
Беларусь;Брест;28.03.2020;2.60
Беларусь;Брест;29.02.2020;2.60
